Customer_id, Customer_name,contact_lastname,contact_firstname,phone,Address_1, Adderss_2, City, State, Postalcode, Country
1,Alpha Cognac,Roulet,Annette,514 5558054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada
2,Amica Models & Co.,Accorti,Paolo,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA
3,"Anna's Decorations, Ltd",O'Hara,Anna,30598555,"67, avenue de l'Europe",,Versailles,,78000,France
4,Atelier graphique,Schmitt,Carine,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
5,"Australian Collectables, Ltd",Connery,Sean,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA
6,"Australian Collectors, Co.",Ferguson,Peter,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
7,"Australian Gift Network, Co",Calaghan,Tony,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA
8,Auto Assoc. & Cie.,Tonini,Daniel, 81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan
10,Auto-Moto Classics Inc.,Perrier,Dominique,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA
11,"AV Stores, Co.",Taylor,Leslie,1 47556555,"25, rue Lauriston",,Paris,,75016,France
12,Baane Mini Imports,Ashworth,Victoria,0798 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway
13,"Bavarian Collectables Imports, Co.",Bergulfsen,Jonas,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
14,"Blauer See Auto, Co.",Donnermeyer,Michael,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
15,Boards & Toys Co.,Keitel,Roland,03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia
16,CAF Imports,Young,Leslie,5085552555,1785 First Street,,New Bedford,MA,50553,USA
17,Cambridge Collectables Co.,Fernandez,Jesus,78325555,"2, rue du Commerce",,Lyon,,69004,France
18,Canadian Gift Exchange Network,Tseng,Kyung,61738446555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia
19,"Classic Gift Ideas, Inc",Tannamuri,Yoshi, 65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
20,Classic Legends Inc.,Cervantes,Francisca,91 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
21,"Clover Collections, Co.",Hernandez,Maria,61738446555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia
22,Collectable Mini Designs Co.,Cassidy,Dean, 33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
23,Collectables For Less Inc.,Thompson,Valarie,069534 6555,?kergatan 24,,Boras,,S-844 67,Sweden
24,Corporate Gift Ideas Co.,Nelson,Allen,6505551386,7734 Strong St.,,San Francisco,CA,,USA
25,"Corrida Auto Replicas, Ltd",Brown,Julie,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
26,Cruz & Sons Co.,Sommer,Mart¡n,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
27,Daedalus Designs Imports,Cruz,Arnold,20161555,"184, chausse de Tournai",,Lille,,59000,France
28,Danish Wholesale Imports,Rance,Martine,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA
29,Diecast Classics Inc.,Petersen,Jytte,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA
30,Diecast Collectables,Yu,Kyung,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA
31,"Double Decker Gift Stores, Ltd",Franco,Valarie,91 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
32,"Dragon Souveniers, Ltd.",Hardy,Thomas,092112 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden
33,Enaco Distributors,Natividad,Eric,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
34,Euro Shopping Channel,Saavedra,Eduardo,5085552555,1785 First Street,,New Bedford,MA,50553,USA
35,FunGiftIdeas.com,Freyre,Diego,1 47556555,"25, rue Lauriston",,Paris,,75016,France
36,Gift Depot Inc.,Benitez,Violeta,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
37,Gift Ideas Corp.,King,Julie, 81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan
